what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1486828636269
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1486828636270
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1486828636469
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1486828636704
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1486828636799
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1486828636886
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1486828636897
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1486828637004
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1486828637101
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1486828637109
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1486828637122
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1486828637347
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.openProject",1486828637549
error,log,,,"The project description file (.project) for 'SongPlay' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1486828637688
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1486828637819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828638172
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1486828638377
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1486828638396
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1486828638411
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486828638434
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1486828638688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828639790
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486828639971
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1486828639996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828641542
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1486828641583
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828647893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828649996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828651275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.export",1486828651282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828653653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828675878
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1486828675949
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1486828675960
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1486828682294
error,log,,,"The project description file (.project) for 'SongPlay' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1486828683530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828683792
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828689450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828695098
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828725805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1486828725815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828726407
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828727977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828728079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828729208
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1486828729454
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1486828730414
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1486828730434
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1486828730435
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1486828730435
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1486828730451
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1486828730472
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1486828730472
